Company Name,Model Name,Processor,Launched Year,User Rating.1,User Review.1,User Camera Rating,User Battery Life Rating,User Design Rating,User Display Rating,User Performance Rating,Memory (GB),Mobile Weight (g),RAM (GB),Front Camera (MP),Back Camera (MP),Battery Capacity (mAh),Launched Price (INR),Screen Size (inches)
apple,iphone 16 128gb,A17 Bionic,2024,4.8,Excellent for watching movies and games.,4.0,4.5,4.3,3.8,4.1,128,174.0,6.0,12.0,48.0,3600,79999,6.1
apple,iphone 16 256gb,A17 Bionic,2024,4.8,Excellent for portability and performance.,4.3,3.8,4.5,4.7,3.8,256,174.0,6.0,12.0,48.0,3600,84999,6.1
apple,iphone 16 512gb,A17 Bionic,2024,5.0,Unmatched performance and camera.,4.2,4.5,3.8,4.2,4.7,512,174.0,6.0,12.0,48.0,3600,89999,6.1
apple,iphone 16 plus 128gb,A17 Bionic,2024,4.4,Best for professionals and creators.,4.6,4.6,4.2,4.1,4.8,128,203.0,6.0,12.0,48.0,4200,89999,6.7
apple,iphone 16 plus 256gb,A17 Bionic,2024,4.4,Large screen and long battery life.,4.9,4.4,4.8,4.7,4.7,256,203.0,6.0,12.0,48.0,4200,94999,6.7
apple,iphone 16 plus 512gb,A17 Bionic,2024,4.4,Great for users who prefer small phones.,4.5,4.2,4.7,4.3,4.6,512,203.0,6.0,12.0,48.0,4200,104999,6.7
apple,iphone 16 pro 128gb,A17 Pro,2024,5.0,Excellent for watching movies and games.,4.2,5.0,4.4,4.7,4.3,128,206.0,6.0,12.0,50.0,4400,99999,6.1
apple,iphone 16 pro 256gb,A17 Pro,2024,4.4,Perfect for watching videos and gaming.,4.9,4.6,4.2,4.4,4.3,256,206.0,8.0,12.0,50.0,4400,104999,6.1
apple,iphone 16 pro 512gb,A17 Pro,2024,4.4,Best for power users and creators.,4.0,4.2,4.1,4.8,4.9,512,206.0,8.0,12.0,50.0,4400,114999,6.1
apple,iphone 16 pro max 128gb,A17 Pro,2024,4.7,Best for professionals and creators.,4.8,4.6,4.2,4.6,4.2,128,221.0,6.0,12.0,48.0,4500,109999,6.7
apple,iphone 16 pro max 256gb,A17 Pro,2024,4.4,Top-notch storage and speed. Perfect for power users.,4.8,4.3,4.4,3.7,4.5,256,221.0,8.0,12.0,48.0,4500,114999,6.7
apple,iphone 16 pro max 512gb,A17 Pro,2024,4.8,Best for professionals and creators.,4.5,4.3,4.5,4.7,4.8,512,221.0,8.0,12.0,48.0,4500,124999,6.7
apple,iphone 15 128gb,A16 Bionic,2023,4.4,Professional features in a compact size.,4.0,4.1,4.0,4.5,5.0,128,171.0,6.0,12.0,48.0,3200,74999,6.1
apple,iphone 15 256gb,A16 Bionic,2023,4.9,Fantastic display and battery.,3.9,4.6,4.3,4.4,4.6,256,171.0,6.0,12.0,48.0,3200,79999,6.1
apple,iphone 15 512gb,A16 Bionic,2023,4.4,Perfect for watching videos and gaming.,4.6,4.4,4.6,4.8,4.4,512,171.0,6.0,12.0,48.0,3200,89999,6.1
apple,iphone 15 plus 128gb,A16 Bionic,2023,5.0,Great value and reliable battery.,4.5,4.6,4.2,4.3,4.3,128,203.0,6.0,12.0,48.0,4300,84999,6.7
apple,iphone 15 plus 256gb,A16 Bionic,2023,4.4,Premium features and excellent camera.,4.4,4.4,4.2,3.8,4.3,256,203.0,6.0,12.0,48.0,4300,94999,6.7
